Starting Year,Student Identifier,MS/PhD or PhD,Billing_Program,gender,US_Citz/PR_Status,Visa_Type,ipeds_long_name,Years Registered,Graduation_Date
2004,Student 181,PhD,Program 2,M,N,F1,NRA,5,2009-10-21
2009,Student 3,MS/PhD,Program 2,M,N,F1,NRA,5,2014-05-21
2009,Student 6,MS/PhD,Program 2,M,N,NI,NRA,4.5,2015-02-11
2009,Student 8,MS/PhD,Program 2,F,N,F1,NRA,5,2014-10-15
2015,Student 74,PhD,Program 2,M,N,F1,NRA,4,2019-05-22
2020,Student 129,MS/PhD,Program 2,M,N,Z1,NRA,0.5,
2017,Student 88,MS/PhD,Program 2,M,N,F1,NRA,3.5,
2013,Student 42,PhD,Program 1,M,N,F1,NRA,5.5,2020-05-20
2014,Student 48,MS/PhD,Program 2,M,N,F1,NRA,1,
2013,Student 46,PhD,Program 2,M,N,F1,NRA,4,2017-10-18
2011,Student 25,MS/PhD,Program 2,M,N,PR,White,5,2016-10-19
2008,Student 158,MS/PhD,Program 2,M,N,F1,NRA,5,2013-05-22
2019,Student 120,PhD,Program 2,M,N,F1,NRA,1.5,
2008,Student 163,PhD,Program 2,F,N,F1,NRA,6,2014-05-21
2014,Student 58,MS/PhD,Program 2,M,N,F1,NRA,5,2019-10-16
2014,Student 57,PhD,Program 2,M,Y,C ,White,3,2017-10-18
2009,Student 9,PhD,Program 2,F,N,F1,NRA,6,2015-10-21
2000,Student 166,PhD,Program 2,M,Y,,White,3,
2014,Student 51,MS/PhD,Program 2,M,Y,C ,White,5,2019-10-16
2017,Student 99,PhD,Program 2,M,N,F1,NRA,3.5,
2014,Student 50,MS/PhD,Program 2,M,Y,C ,Asian,4,2018-10-17
2017,Student 90,MS/PhD,Program 2,M,Y,C ,White,3.5,
2015,Student 65,MS/PhD,Program 2,M,N,F1,NRA,5.5,
2020,Student 134,PhD,Program 2,M,N,F1,NRA,0.5,
2013,Student 36,MS/PhD,Program 2,M,N,F1,NRA,7,2020-10-21
2008,Student 157,MS/PhD,Program 2,F,N,F1,NRA,6,2014-05-21
2004,Student 178,MS/PhD,Program 2,M,N,F1,NRA,0.5,
2009,Student 4,MS/PhD,Program 2,M,N,F1,NRA,5.5,2014-10-15
2020,Student 135,PhD,Program 2,M,N,F1,NRA,0.5,
2015,Student 64,PhD,Program 2,M,Y,C ,Asian,5,2020-10-21
2004,Student 179,PhD,Program 1,F,N,F1,NRA,6,2010-05-18
2009,Student 14,PhD,Program 1,M,Y,C ,White,6,2015-05-20
2010,Student 19,PhD,Program 2,F,N,F1,NRA,5,2015-05-20
2005,Student 138,MS/PhD,Program 2,F,N,F1,NRA,6,2012-10-17
2006,Student 142,PhD,Program 2,M,N,F1,NRA,5,2011-05-18
2017,Student 91,MS/PhD,Program 2,M,Y,C ,White,3.5,
2020,Student 132,PhD,Program 2,M,N,Z1,NRA,0.5,
2015,Student 71,MS/PhD,Program 2,M,N,F1,NRA,5,2020-10-21
2007,Student 152,MS/PhD,Program 2,F,N,F1,NRA,5,2013-05-22
2018,Student 113,PhD,Program 2,M,N,F1,NRA,2.5,
2018,Student 102,MS/PhD,Program 2,M,N,F1,NRA,2.5,
2008,Student 162,PhD,Program 1,M,N,J1,NRA,5,2013-10-16
2004,Student 175,MS/PhD,Program 2,M,N,J1,NRA,5.5,2010-10-20
2013,Student 44,PhD,Program 2,F,N,F1,NRA,5,2018-10-17
2006,Student 143,PhD,Program 2,M,N,F1,NRA,5,2011-10-19
2018,Student 103,MS/PhD,Program 2,F,N,F1,NRA,2.5,
2016,Student 77,MS/PhD,Program 2,M,N,F1,NRA,4.5,
2017,Student 96,MS/PhD,Program 2,F,N,F1,NRA,3.5,
2015,Student 59,MS/PhD,Program 1,M,N,F1,NRA,5,2020-05-20
2020,Student 126,MS/PhD,Program 2,M,N,Z1,NRA,0.5,
